State,Year,Dayweek,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,Age Group,Time of day
WA,2016,Saturday,Single,No,No,No,110,Passenger,Male,24,Very Remote Australia,17_to_25,Day
NSW,2016,Friday,Single,No,No,No,100,Passenger,Male,18,Outer Regional Australia,17_to_25,Night
NSW,2016,Friday,Single,No,No,No,100,Driver,Male,17,Outer Regional Australia,17_to_25,Night
NSW,2016,Friday,Multiple,No,No,Yes,110,Driver,Female,48,Outer Regional Australia,40_to_64,Day
NSW,2016,Friday,Multiple,No,No,Yes,110,Driver,Male,61,Outer Regional Australia,40_to_64,Day
SA,2016,Friday,Single,No,Yes,No,110,Driver,Male,76,Outer Regional Australia,75_or_older,Day
WA,2016,Thursday,Multiple,No,No,No,50,Motorcycle rider,Male,41,Major Cities of Australia,40_to_64,Day
WA,2016,Thursday,Multiple,No,No,No,50,Motorcycle rider,Male,17,Major Cities of Australia,17_to_25,Night
SA,2016,Wednesday,Multiple,No,No,No,60,Driver,Female,74,Major Cities of Australia,65_to_74,Night
WA,2016,Wednesday,Single,No,No,No,110,Driver,Male,53,Outer Regional Australia,40_to_64,Day
NSW,2016,Tuesday,Multiple,No,No,No,100,Driver,Male,36,Outer Regional Australia,26_to_39,Night
NSW,2016,Tuesday,Multiple,No,No,No,70,Motorcycle rider,Male,56,Major Cities of Australia,40_to_64,Day
NSW,2016,Tuesday,Multiple,No,Yes,No,100,Driver,Female,35,Inner Regional Australia,26_to_39,Day
SA,2016,Tuesday,Multiple,No,No,Yes,110,Driver,Male,72,Outer Regional Australia,65_to_74,Day
NSW,2016,Saturday,Single,No,No,No,80,Passenger,Male,20,Inner Regional Australia,17_to_25,Night
SA,2016,Saturday,Single,No,No,No,50,Motorcycle rider,Male,22,Very Remote Australia,17_to_25,Night
Tas,2016,Saturday,Single,No,No,No,80,Motorcycle rider,Male,16,Outer Regional Australia,0_to_16,Day
WA,2016,Saturday,Single,No,No,No,60,Motorcycle rider,Male,47,Major Cities of Australia,40_to_64,Night
NT,2016,Friday,Single,No,No,No,110,Driver,Male,23,Remote Australia,17_to_25,Night
Tas,2016,Friday,Multiple,No,No,No,40,Motorcycle rider,Male,48,Inner Regional Australia,40_to_64,Night
Tas,2016,Friday,Multiple,No,No,No,90,Motorcycle rider,Male,59,Outer Regional Australia,40_to_64,Day
ACT,2016,Thursday,Multiple,No,No,No,80,Driver,Female,63,Major Cities of Australia,40_to_64,Day
NSW,2016,Thursday,Pedestrian,No,No,No,60,Pedestrian,Male,56,Major Cities of Australia,40_to_64,Night
NSW,2016,Thursday,Multiple,No,No,No,100,Motorcycle rider,Female,31,Inner Regional Australia,26_to_39,Day
NSW,2016,Thursday,Single,No,No,No,110,Passenger,Female,76,Outer Regional Australia,75_or_older,Day
NSW,2016,Wednesday,Multiple,No,No,No,100,Driver,Male,21,Outer Regional Australia,17_to_25,Day
NSW,2016,Wednesday,Multiple,No,No,No,100,Driver,Male,41,Outer Regional Australia,40_to_64,Day
WA,2016,Wednesday,Multiple,No,No,No,80,Motorcycle rider,Male,28,Major Cities of Australia,26_to_39,Day
WA,2016,Wednesday,Single,No,No,No,70,Motorcycle rider,Male,30,Major Cities of Australia,26_to_39,Night
WA,2016,Tuesday,Pedestrian,No,No,No,80,Pedestrian,Male,48,Major Cities of Australia,40_to_64,Night
NSW,2016,Monday,Multiple,No,No,No,50,Motorcycle rider,Male,14,Major Cities of Australia,0_to_16,Day
ACT,2016,Sunday,Single,No,No,No,60,Driver,Male,24,Major Cities of Australia,17_to_25,Day
NSW,2016,Sunday,Pedestrian,Yes,No,No,50,Pedestrian,Female,79,Major Cities of Australia,75_or_older,Day
WA,2016,Sunday,Multiple,No,No,No,70,Motorcycle rider,Male,19,Major Cities of Australia,17_to_25,Night
SA,2016,Saturday,Single,No,No,No,110,Passenger,Female,66,Very Remote Australia,65_to_74,Day
NSW,2016,Friday,Multiple,No,No,No,80,Motorcycle rider,Male,43,Inner Regional Australia,40_to_64,Day
NT,2016,Friday,Pedestrian,No,No,Yes,10,Pedestrian,Male,46,Outer Regional Australia,40_to_64,Night
NT,2016,Friday,Single,No,No,No,110,Driver,Male,45,Very Remote Australia,40_to_64,Day
WA,2016,Friday,Single,No,No,No,110,Driver,Male,75,Inner Regional Australia,75_or_older,Day
NSW,2016,Thursday,Single,No,No,No,100,Motorcycle rider,Male,36,Inner Regional Australia,26_to_39,Day
NSW,2016,Thursday,Multiple,No,Yes,Yes,80,Driver,Male,49,Major Cities of Australia,40_to_64,Day
NSW,2016,Thursday,Multiple,No,Yes,Yes,80,Driver,Male,46,Major Cities of Australia,40_to_64,Day
NT,2016,Thursday,Single,No,No,No,110,Passenger,Female,27,Very Remote Australia,26_to_39,Night
SA,2016,Thursday,Multiple,No,No,No,40,Driver,Female,48,Major Cities of Australia,40_to_64,Night
NSW,2016,Wednesday,Pedestrian,No,No,No,60,Pedestrian,Male,85,Major Cities of Australia,75_or_older,Day
SA,2016,Monday,Pedestrian,No,No,No,60,Pedestrian,Male,71,Major Cities of Australia,65_to_74,Day
NSW,2016,Sunday,Single,No,No,No,50,Driver,Male,59,Major Cities of Australia,40_to_64,Day
SA,2016,Sunday,Multiple,No,No,No,100,Passenger,Female,8,Inner Regional Australia,0_to_16,Day
WA,2016,Sunday,Single,No,No,No,110,Driver,Male,45,Outer Regional Australia,40_to_64,Night
WA,2016,Sunday,Multiple,No,No,No,110,Driver,Male,29,Very Remote Australia,26_to_39,Day
WA,2016,Sunday,Multiple,No,No,No,110,Passenger,Female,26,Very Remote Australia,26_to_39,Day
NT,2016,Saturday,Multiple,No,No,Yes,100,Passenger,Male,31,Outer Regional Australia,26_to_39,Night
NT,2016,Saturday,Multiple,No,No,Yes,100,Passenger,Male,25,Outer Regional Australia,17_to_25,Night
NT,2016,Saturday,Single,No,No,No,130,Passenger,Female,62,Very Remote Australia,40_to_64,Night
WA,2016,Saturday,Single,No,No,No,110,Driver,Female,37,Inner Regional Australia,26_to_39,Night
WA,2016,Saturday,Single,No,No,No,110,Passenger,Male,15,Very Remote Australia,0_to_16,Day
WA,2016,Saturday,Single,No,No,No,110,Passenger,Male,28,Very Remote Australia,26_to_39,Day
WA,2016,Saturday,Single,No,No,No,110,Driver,Male,16,Very Remote Australia,0_to_16,Day
NSW,2016,Friday,Multiple,No,No,No,60,Passenger,Female,84,Inner Regional Australia,75_or_older,Day
NSW,2016,Tuesday,Single,No,No,No,100,Passenger,Male,17,Outer Regional Australia,17_to_25,Night
NSW,2016,Tuesday,Single,No,No,No,100,Passenger,Male,22,Outer Regional Australia,17_to_25,Night
NSW,2016,Tuesday,Single,No,No,No,80,Passenger,Female,23,Inner Regional Australia,17_to_25,Night
NSW,2016,Tuesday,Pedestrian,No,No,No,40,Pedestrian,Male,86,Major Cities of Australia,75_or_older,Day
SA,2016,Tuesday,Single,No,No,No,100,Passenger,Female,29,Inner Regional Australia,26_to_39,Night
WA,2016,Tuesday,Single,No,No,No,110,Driver,Male,20,Very Remote Australia,17_to_25,Night
NSW,2016,Monday,Pedestrian,Yes,No,No,40,Pedestrian,Male,48,Major Cities of Australia,40_to_64,Day
NSW,2016,Monday,Multiple,No,Yes,No,100,Driver,Male,72,Inner Regional Australia,65_to_74,Day
NSW,2016,Monday,Multiple,No,Yes,No,100,Passenger,Female,75,Inner Regional Australia,75_or_older,Day
Tas,2016,Monday,Single,No,No,No,100,Driver,Male,36,Outer Regional Australia,26_to_39,Night
SA,2016,Sunday,Multiple,No,No,No,110,Driver,Male,87,Major Cities of Australia,75_or_older,Day
Tas,2016,Sunday,Single,No,No,No,100,Motorcycle rider,Male,79,Outer Regional Australia,75_or_older,Day
WA,2016,Saturday,Single,No,No,No,90,Driver,Male,24,Inner Regional Australia,17_to_25,Day
NSW,2016,Friday,Single,No,No,No,100,Passenger,Female,53,Inner Regional Australia,40_to_64,Day
NSW,2016,Friday,Multiple,No,No,No,50,Motorcycle rider,Male,50,Major Cities of Australia,40_to_64,Day
NSW,2016,Friday,Multiple,No,No,No,60,Driver,Female,91,Major Cities of Australia,75_or_older,Day
SA,2016,Friday,Single,No,No,No,110,Passenger,Female,12,Inner Regional Australia,0_to_16,Day
SA,2016,Wednesday,Pedestrian,No,No,No,50,Pedestrian,Male,54,Major Cities of Australia,40_to_64,Day
WA,2016,Wednesday,Single,No,No,No,100,Motorcycle rider,Female,41,Inner Regional Australia,40_to_64,Day
WA,2016,Tuesday,Pedestrian,No,No,No,70,Pedestrian,Male,71,Major Cities of Australia,65_to_74,Night
NSW,2016,Monday,Multiple,No,No,Yes,110,Motorcycle rider,Male,22,Inner Regional Australia,17_to_25,Night
NSW,2016,Monday,Single,No,No,No,80,Driver,Male,46,Major Cities of Australia,40_to_64,Night
NSW,2016,Monday,Single,No,No,No,110,Driver,Female,71,Outer Regional Australia,65_to_74,Day
NSW,2016,Monday,Multiple,No,No,No,60,Driver,Male,79,Major Cities of Australia,75_or_older,Day
NSW,2016,Sunday,Single,No,No,No,90,Driver,Male,25,Inner Regional Australia,17_to_25,Night
NSW,2016,Saturday,Multiple,No,Yes,No,40,Motorcycle rider,Male,36,Major Cities of Australia,26_to_39,Day
SA,2016,Saturday,Pedestrian,No,No,No,80,Pedestrian,Male,20,Major Cities of Australia,17_to_25,Night
WA,2016,Saturday,Multiple,No,No,No,70,Passenger,Male,66,Major Cities of Australia,65_to_74,Night
WA,2016,Saturday,Multiple,No,No,No,70,Passenger,Female,60,Major Cities of Australia,40_to_64,Night
NSW,2016,Friday,Multiple,No,No,Yes,100,Driver,Male,53,Outer Regional Australia,40_to_64,Day
SA,2016,Friday,Multiple,No,No,No,80,Driver,Male,20,Major Cities of Australia,17_to_25,Day
Tas,2016,Thursday,Single,No,No,No,60,Passenger,Female,2,Inner Regional Australia,0_to_16,Night
Tas,2016,Thursday,Single,No,No,No,60,Driver,Male,18,Inner Regional Australia,17_to_25,Night
NSW,2016,Wednesday,Multiple,No,Yes,No,80,Driver,Male,18,Major Cities of Australia,17_to_25,Day
NSW,2016,Tuesday,Pedestrian,Yes,No,No,60,Pedestrian,Male,28,Major Cities of Australia,26_to_39,Day
WA,2016,Tuesday,Single,No,No,No,90,Driver,Male,25,Inner Regional Australia,17_to_25,Night
NSW,2016,Monday,Single,No,No,No,80,Motorcycle rider,Male,29,Inner Regional Australia,26_to_39,Night
NSW,2016,Monday,Single,No,No,No,50,Passenger,Male,82,Outer Regional Australia,75_or_older,Day
WA,2016,Monday,Single,No,No,No,80,Driver,Female,22,Inner Regional Australia,17_to_25,Night
NSW,2016,Sunday,Multiple,No,No,No,100,Motorcycle rider,Male,43,Inner Regional Australia,40_to_64,Day
SA,2016,Sunday,Single,No,No,No,80,Driver,Female,22,Outer Regional Australia,17_to_25,Night
Tas,2016,Sunday,Multiple,No,No,No,100,Passenger,Female,84,Outer Regional Australia,75_or_older,Day
NSW,2016,Saturday,Single,No,No,No,80,Motorcycle rider,Male,43,Inner Regional Australia,40_to_64,Day
NSW,2016,Friday,Single,No,No,No,50,Driver,Male,36,Inner Regional Australia,26_to_39,Night
NSW,2016,Thursday,Multiple,No,No,Yes,90,Driver,Male,76,Inner Regional Australia,75_or_older,Day
ACT,2016,Monday,Multiple,No,No,Yes,100,Driver,Male,39,Inner Regional Australia,26_to_39,Night
NSW,2016,Monday,Multiple,No,Yes,No,100,Driver,Male,72,Inner Regional Australia,65_to_74,Day
WA,2016,Monday,Multiple,No,No,No,100,Motorcycle rider,Male,43,Major Cities of Australia,40_to_64,Day
NSW,2016,Saturday,Multiple,No,No,No,60,Driver,Male,32,Inner Regional Australia,26_to_39,Night
NSW,2016,Saturday,Multiple,No,No,No,60,Driver,Female,62,Major Cities of Australia,40_to_64,Day
NSW,2016,Saturday,Multiple,No,No,Yes,80,Driver,Male,58,Inner Regional Australia,40_to_64,Day
ACT,2016,Friday,Multiple,No,No,No,70,Motorcycle rider,Male,20,Major Cities of Australia,17_to_25,Day
NSW,2016,Friday,Single,No,No,No,100,Passenger,Female,76,Outer Regional Australia,75_or_older,Night
NSW,2016,Friday,Multiple,No,No,No,50,Driver,Female,68,Major Cities of Australia,65_to_74,Day
WA,2016,Friday,Multiple,No,Yes,No,60,Driver,Male,65,Major Cities of Australia,65_to_74,Day
WA,2016,Thursday,Single,No,No,No,70,Motorcycle rider,Male,27,Major Cities of Australia,26_to_39,Day
NSW,2016,Wednesday,Single,No,No,No,50,Driver,Male,83,Major Cities of Australia,75_or_older,Day
WA,2016,Wednesday,Single,No,Yes,No,110,Driver,Male,44,Very Remote Australia,40_to_64,Night
NSW,2016,Monday,Pedestrian,No,No,No,60,Pedestrian,Female,32,Major Cities of Australia,26_to_39,Night
NSW,2016,Sunday,Pedestrian,No,No,No,60,Pedestrian,Female,54,Major Cities of Australia,40_to_64,Night
NSW,2016,Sunday,Single,No,No,No,80,Driver,Female,30,Major Cities of Australia,26_to_39,Night
NSW,2016,Sunday,Multiple,No,No,No,100,Motorcycle rider,Female,51,Inner Regional Australia,40_to_64,Day
NSW,2016,Saturday,Single,No,No,No,100,Driver,Female,66,Inner Regional Australia,65_to_74,Night
NT,2016,Saturday,Single,No,No,No,110,Driver,Male,45,Very Remote Australia,40_to_64,Night
NT,2016,Saturday,Single,No,No,No,110,Passenger,Female,44,Very Remote Australia,40_to_64,Night
NSW,2016,Friday,Multiple,No,No,No,60,Pedal cyclist,Female,66,Major Cities of Australia,65_to_74,Night
WA,2016,Friday,Single,No,No,No,110,Passenger,Female,24,Very Remote Australia,17_to_25,Day
NT,2016,Thursday,Pedestrian,No,No,No,80,Pedestrian,Male,42,Outer Regional Australia,40_to_64,Night
NT,2016,Wednesday,Single,No,No,No,110,Driver,Male,26,Very Remote Australia,26_to_39,Day
SA,2016,Wednesday,Multiple,No,No,No,80,Passenger,Male,82,Major Cities of Australia,75_or_older,Night
WA,2016,Wednesday,Single,No,No,No,110,Motorcycle rider,Male,40,Inner Regional Australia,40_to_64,Night
NSW,2016,Monday,Single,No,No,No,100,Driver,Male,96,Inner Regional Australia,75_or_older,Day
SA,2016,Monday,Multiple,No,Yes,No,80,Driver,Male,34,Major Cities of Australia,26_to_39,Day
NSW,2016,Sunday,Single,No,No,No,100,Motorcycle rider,Male,31,Inner Regional Australia,26_to_39,Day
WA,2016,Saturday,Multiple,No,No,No,70,Driver,Female,20,Major Cities of Australia,17_to_25,Day
NSW,2016,Friday,Single,No,No,No,100,Driver,Male,28,Inner Regional Australia,26_to_39,Night
NSW,2016,Friday,Multiple,No,Yes,No,70,Driver,Male,65,Major Cities of Australia,65_to_74,Night
NSW,2016,Thursday,Pedestrian,No,No,No,50,Pedestrian,Female,69,Inner Regional Australia,65_to_74,Day
NSW,2016,Thursday,Multiple,No,No,No,90,Driver,Male,69,Inner Regional Australia,65_to_74,Day
SA,2016,Thursday,Multiple,No,No,No,100,Passenger,Male,47,Outer Regional Australia,40_to_64,Day
WA,2016,Thursday,Single,No,No,No,110,Driver,Male,54,Inner Regional Australia,40_to_64,Night
NSW,2016,Wednesday,Multiple,No,No,No,60,Motorcycle rider,Male,28,Major Cities of Australia,26_to_39,Day
WA,2016,Wednesday,Multiple,No,Yes,No,60,Passenger,Male,40,Major Cities of Australia,40_to_64,Day
NSW,2016,Tuesday,Multiple,No,No,No,100,Motorcycle rider,Male,44,Inner Regional Australia,40_to_64,Night
SA,2016,Tuesday,Single,No,No,No,110,Passenger,Female,48,Inner Regional Australia,40_to_64,Night
WA,2016,Tuesday,Single,No,No,No,110,Driver,Female,81,Very Remote Australia,75_or_older,Day
WA,2016,Tuesday,Single,No,No,No,110,Passenger,Male,84,Very Remote Australia,75_or_older,Day
SA,2016,Monday,Multiple,No,No,No,60,Pedal cyclist,Male,73,Major Cities of Australia,65_to_74,Day
WA,2016,Monday,Multiple,Yes,No,No,60,Driver,Male,88,Major Cities of Australia,75_or_older,Day
NSW,2016,Sunday,Pedestrian,Yes,No,No,60,Pedestrian,Male,32,Major Cities of Australia,26_to_39,Night
NSW,2016,Sunday,Multiple,No,No,No,110,Driver,Female,30,Major Cities of Australia,26_to_39,Day
WA,2016,Sunday,Single,No,No,No,70,Motorcycle rider,Male,22,Inner Regional Australia,17_to_25,Day
WA,2016,Sunday,Multiple,No,No,No,90,Passenger,Female,21,Inner Regional Australia,17_to_25,Night
WA,2016,Sunday,Multiple,No,No,No,90,Passenger,Female,20,Inner Regional Australia,17_to_25,Night
WA,2016,Sunday,Multiple,No,No,No,90,Driver,Male,28,Inner Regional Australia,26_to_39,Night
WA,2016,Sunday,Multiple,No,No,No,100,Passenger,Female,25,Major Cities of Australia,17_to_25,Day
NSW,2016,Saturday,Multiple,No,No,No,100,Motorcycle rider,Male,21,Outer Regional Australia,17_to_25,Night
NSW,2016,Saturday,Multiple,No,No,No,100,Driver,Male,47,Inner Regional Australia,40_to_64,Day
NSW,2016,Saturday,Multiple,No,No,No,100,Driver,Male,53,Inner Regional Australia,40_to_64,Day
NT,2016,Saturday,Single,No,No,No,130,Driver,Male,27,Remote Australia,26_to_39,Day
NSW,2016,Friday,Single,No,No,No,100,Passenger,Male,15,Inner Regional Australia,0_to_16,Night
NSW,2016,Friday,Single,No,No,No,60,Motorcycle rider,Male,20,Major Cities of Australia,17_to_25,Night
NSW,2016,Friday,Pedestrian,No,No,No,80,Pedestrian,Male,48,Major Cities of Australia,40_to_64,Night
NSW,2016,Friday,Multiple,No,No,Yes,80,Motorcycle rider,Female,59,Major Cities of Australia,40_to_64,Day
WA,2016,Thursday,Multiple,No,No,No,60,Driver,Male,66,Major Cities of Australia,65_to_74,Day
NT,2016,Wednesday,Single,No,No,No,110,Driver,Male,65,Remote Australia,65_to_74,Day
NSW,2016,Monday,Pedestrian,No,No,No,100,Pedestrian,Male,10,Outer Regional Australia,0_to_16,Day
NSW,2016,Sunday,Single,No,No,No,100,Driver,Male,21,Outer Regional Australia,17_to_25,Night
NSW,2016,Sunday,Multiple,No,No,No,50,Passenger,Female,38,Major Cities of Australia,26_to_39,Day
NSW,2016,Sunday,Multiple,No,No,No,100,Passenger,Female,53,Inner Regional Australia,40_to_64,Day
SA,2016,Sunday,Single,No,No,No,80,Driver,Male,41,Inner Regional Australia,40_to_64,Day
WA,2016,Sunday,Single,No,No,No,110,Driver,Male,36,Inner Regional Australia,26_to_39,Night
NSW,2016,Saturday,Pedestrian,No,No,No,50,Pedestrian,Female,32,Major Cities of Australia,26_to_39,Night
NSW,2016,Friday,Single,No,No,No,100,Driver,Male,22,Outer Regional Australia,17_to_25,Night
NSW,2016,Friday,Pedestrian,Yes,No,No,60,Pedestrian,Male,73,Outer Regional Australia,65_to_74,Day
NSW,2016,Thursday,Single,No,No,No,60,Driver,Male,20,Major Cities of Australia,17_to_25,Night
NSW,2016,Wednesday,Single,No,Yes,No,80,Driver,Male,24,Major Cities of Australia,17_to_25,Day
NSW,2016,Wednesday,Single,No,No,No,80,Driver,Female,59,Inner Regional Australia,40_to_64,Day
NSW,2016,Tuesday,Single,No,No,No,80,Driver,Female,67,Major Cities of Australia,65_to_74,Night
NSW,2016,Monday,Single,No,No,No,100,Driver,Male,52,Inner Regional Australia,40_to_64,Night
WA,2016,Sunday,Single,No,No,No,110,Passenger,Female,4,Very Remote Australia,0_to_16,Night
NSW,2016,Saturday,Single,No,No,No,100,Driver,Male,18,Outer Regional Australia,17_to_25,Night
NSW,2016,Saturday,Pedestrian,No,No,No,110,Pedestrian,Male,36,Inner Regional Australia,26_to_39,Night
NSW,2016,Friday,Single,No,No,No,100,Passenger,Female,32,Outer Regional Australia,26_to_39,Night
NSW,2016,Friday,Single,No,No,No,100,Driver,Male,54,Outer Regional Australia,40_to_64,Night
WA,2016,Friday,Pedestrian,No,No,No,60,Pedestrian,Female,78,Major Cities of Australia,75_or_older,Night
NT,2016,Thursday,Single,No,No,No,100,Driver,Male,25,Very Remote Australia,17_to_25,Night
NT,2016,Tuesday,Single,No,No,No,110,Passenger,Male,2,Very Remote Australia,0_to_16,Night
NSW,2016,Saturday,Multiple,No,No,No,80,Motorcycle rider,Male,33,Inner Regional Australia,26_to_39,Day
NSW,2016,Friday,Single,No,No,No,100,Driver,Female,18,Inner Regional Australia,17_to_25,Day
Tas,2016,Friday,Pedestrian,Yes,No,No,50,Pedestrian,Female,46,Inner Regional Australia,40_to_64,Night
WA,2016,Friday,Multiple,No,No,Yes,110,Driver,Male,43,Very Remote Australia,40_to_64,Day
NSW,2016,Thursday,Single,No,No,No,50,Motorcycle pillion passenger,Male,20,Outer Regional Australia,17_to_25,Night
NSW,2016,Thursday,Single,No,No,No,80,Driver,Male,39,Inner Regional Australia,26_to_39,Night
NSW,2016,Thursday,Single,No,No,No,50,Motorcycle rider,Male,22,Outer Regional Australia,17_to_25,Night
WA,2016,Wednesday,Single,No,No,No,110,Driver,Male,43,Outer Regional Australia,40_to_64,Night
NSW,2016,Tuesday,Single,No,No,No,100,Passenger,Male,72,Outer Regional Australia,65_to_74,Day
WA,2016,Tuesday,Multiple,No,No,No,110,Motorcycle rider,Male,52,Remote Australia,40_to_64,Day
NSW,2016,Sunday,Single,No,No,No,90,Passenger,Male,41,Inner Regional Australia,40_to_64,Night
NSW,2016,Sunday,Single,No,No,No,50,Passenger,Male,17,Major Cities of Australia,17_to_25,Night
NSW,2016,Sunday,Single,No,No,No,70,Driver,Male,67,Major Cities of Australia,65_to_74,Day
NSW,2016,Sunday,Pedestrian,No,No,No,50,Pedestrian,Female,74,Major Cities of Australia,65_to_74,Day
SA,2016,Sunday,Single,No,No,No,100,Driver,Male,22,Outer Regional Australia,17_to_25,Day
WA,2016,Sunday,Single,No,No,No,100,Driver,Male,52,Major Cities of Australia,40_to_64,Night
WA,2016,Saturday,Pedestrian,No,No,No,110,Pedestrian,Male,42,Very Remote Australia,40_to_64,Night
NSW,2016,Friday,Multiple,No,No,No,70,Motorcycle rider,Male,18,Major Cities of Australia,17_to_25,Night
NSW,2016,Friday,Single,No,No,No,80,Driver,Male,45,Major Cities of Australia,40_to_64,Night
NSW,2016,Thursday,Single,No,No,No,100,Motorcycle rider,Male,67,Outer Regional Australia,65_to_74,Day
WA,2016,Thursday,Single,No,No,No,100,Driver,Male,17,Inner Regional Australia,17_to_25,Day
ACT,2016,Wednesday,Multiple,No,No,No,100,Driver,Male,53,Inner Regional Australia,40_to_64,Day
NSW,2016,Wednesday,Single,No,No,No,80,Driver,Male,35,Inner Regional Australia,26_to_39,Night
NSW,2016,Tuesday,Multiple,No,No,No,50,Motorcycle rider,Male,46,Major Cities of Australia,40_to_64,Day
NT,2016,Monday,Single,No,No,No,130,Passenger,Male,36,Very Remote Australia,26_to_39,Night
NSW,2016,Sunday,Single,No,No,No,40,Driver,Male,32,Remote Australia,26_to_39,Night
NSW,2016,Sunday,Multiple,No,No,No,50,Motorcycle rider,Male,61,Inner Regional Australia,40_to_64,Day
NSW,2016,Saturday,Single,No,No,No,40,Driver,Male,39,Outer Regional Australia,26_to_39,Day
NSW,2016,Saturday,Pedestrian,No,No,No,90,Pedestrian,Male,45,Inner Regional Australia,40_to_64,Day
SA,2016,Saturday,Single,No,No,No,50,Motorcycle rider,Male,17,Outer Regional Australia,17_to_25,Day
WA,2016,Saturday,Multiple,No,No,No,110,Driver,Male,30,Inner Regional Australia,26_to_39,Day
SA,2016,Friday,Multiple,No,No,Yes,90,Driver,Male,25,Outer Regional Australia,17_to_25,Day
SA,2016,Friday,Multiple,No,No,No,110,Motorcycle rider,Male,59,Outer Regional Australia,40_to_64,Day
Tas,2016,Friday,Pedestrian,No,No,No,100,Pedestrian,Male,43,Inner Regional Australia,40_to_64,Night
WA,2016,Friday,Single,No,No,No,80,Passenger,Male,28,Inner Regional Australia,26_to_39,Night
WA,2016,Friday,Single,No,No,No,50,Driver,Male,36,Major Cities of Australia,26_to_39,Night
WA,2016,Friday,Multiple,No,No,No,80,Motorcycle rider,Male,19,Major Cities of Australia,17_to_25,Day
NSW,2016,Thursday,Pedestrian,No,No,No,60,Pedestrian,Male,50,Major Cities of Australia,40_to_64,Day
WA,2016,Thursday,Multiple,No,No,Yes,50,Pedal cyclist,Male,12,Major Cities of Australia,0_to_16,Day
WA,2016,Wednesday,Pedestrian,No,No,No,90,Pedestrian,Male,47,Major Cities of Australia,40_to_64,Night
WA,2016,Wednesday,Single,No,No,No,110,Driver,Male,62,Remote Australia,40_to_64,Day
NSW,2016,Sunday,Single,No,No,No,100,Passenger,Male,26,Major Cities of Australia,26_to_39,Night
NSW,2016,Sunday,Single,No,No,No,100,Driver,Male,28,Major Cities of Australia,26_to_39,Night
WA,2016,Sunday,Multiple,No,No,No,110,Motorcycle rider,Female,46,Inner Regional Australia,40_to_64,Day
ACT,2016,Saturday,Single,No,No,No,100,Driver,Male,21,Inner Regional Australia,17_to_25,Night
NSW,2016,Saturday,Single,No,No,No,50,Driver,Male,27,Outer Regional Australia,26_to_39,Night
NSW,2016,Saturday,Multiple,No,No,No,100,Passenger,Female,31,Outer Regional Australia,26_to_39,Day
WA,2016,Saturday,Single,No,No,No,80,Driver,Male,58,Major Cities of Australia,40_to_64,Night
NSW,2016,Friday,Single,No,No,No,110,Driver,Male,75,Inner Regional Australia,75_or_older,Night
NSW,2016,Friday,Single,No,No,No,80,Motorcycle rider,Male,66,Outer Regional Australia,65_to_74,Day
WA,2016,Friday,Single,No,No,No,50,Driver,Male,28,Inner Regional Australia,26_to_39,Night
NSW,2016,Sunday,Multiple,No,No,Yes,100,Driver,Male,32,Inner Regional Australia,26_to_39,Night
NSW,2016,Sunday,Multiple,No,No,No,100,Motorcycle rider,Male,46,Inner Regional Australia,40_to_64,Day
NSW,2016,Saturday,Single,No,No,No,60,Passenger,Male,41,Inner Regional Australia,40_to_64,Night
NSW,2016,Saturday,Multiple,No,No,No,100,Motorcycle rider,Male,44,Outer Regional Australia,40_to_64,Day
NSW,2016,Saturday,Single,No,No,No,100,Driver,Male,44,Outer Regional Australia,40_to_64,Night
SA,2016,Saturday,Pedestrian,No,No,No,60,Pedestrian,Male,61,Major Cities of Australia,40_to_64,Night
NSW,2016,Thursday,Single,No,No,No,80,Driver,Male,53,Inner Regional Australia,40_to_64,Day
NSW,2016,Tuesday,Pedestrian,No,No,No,50,Pedestrian,Female,87,Major Cities of Australia,75_or_older,Day
SA,2016,Tuesday,Multiple,No,No,No,80,Passenger,Female,26,Inner Regional Australia,26_to_39,Day
Tas,2016,Tuesday,Multiple,No,No,Yes,100,Passenger,Female,16,Outer Regional Australia,0_to_16,Day
Tas,2016,Tuesday,Multiple,No,No,Yes,100,Passenger,Male,0,Outer Regional Australia,0_to_16,Day
NSW,2016,Sunday,Single,No,No,No,90,Driver,Male,25,Inner Regional Australia,17_to_25,Night
NSW,2016,Sunday,Single,No,No,No,80,Driver,Male,23,Inner Regional Australia,17_to_25,Day
NSW,2016,Sunday,Multiple,No,No,No,80,Motorcycle rider,Male,55,Outer Regional Australia,40_to_64,Day
SA,2016,Sunday,Single,No,No,No,50,Pedal cyclist,Male,46,Inner Regional Australia,40_to_64,Night
NSW,2016,Saturday,Pedestrian,No,No,No,70,Pedestrian,Male,16,Major Cities of Australia,0_to_16,Night
NSW,2016,Friday,Pedestrian,No,No,No,70,Pedestrian,Male,3,Major Cities of Australia,0_to_16,Day
NSW,2016,Friday,Multiple,Yes,No,No,50,Driver,Male,57,Major Cities of Australia,40_to_64,Day
SA,2016,Friday,Single,No,No,No,110,Driver,Female,22,Inner Regional Australia,17_to_25,Night
NSW,2016,Thursday,Pedestrian,No,No,No,60,Pedestrian,Male,17,Major Cities of Australia,17_to_25,Day
NSW,2016,Thursday,Pedestrian,No,No,No,50,Pedestrian,Female,59,Major Cities of Australia,40_to_64,Day
